"time","air.T","lightAbsorption.panels_PAR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[2]","weatherFromFile.weather.air_temp","climateController.heater_power"
0,293.15,0,0,270.95,0
240.01,288.824687420563,0,0,270.95,0
480.019,288.1516349700809,0,0,270.95,73.23387815520377
720.029,288.1516346342552,0,0,270.95,73.28127943273022
960.038,288.1516343009052,0,0,270.95,73.32836047247638
1200.05,288.1516339690953,0,0,270.95,73.37525287922642
1440.06,288.1516336385373,0,0,270.95,73.42199705004282
1680.07,288.1516333105305,0,0,270.95,73.46840876976934
1920.08,288.1516329832563,0,0,270.95,73.51474495360722
2160.09,288.1516326577446,0,0,270.95,73.56085946612268
2400.1,288.1516323336375,0,0,270.95,73.60680265786557
2640.11,288.1516320110683,0,0,270.95,73.65255522463843
2880.12,288.1516316901931,0,0,270.95,73.69809466300237
3120.12,288.1516313708933,0,0,270.95,73.74343741053579
3360.13,288.1516310530454,0,0,270.95,73.78860060880166
3600,288.1516307366333,0,0,270.95,73.83358621167035
3600,288.1516307366333,0,0,270.94999999997,73.83358621167035
3600.14,288.1516307371055,0,0,270.94998799952,73.83351905765578
3840.15,288.1516295658613,0,0,270.929987199488,74.00026912216472
4080.16,288.151628399465,0,0,270.9099863994559,74.16668883558341
4320.17,288.1516272365246,0,0,270.8899855994239,74.33297370078074
4560.18,288.1516260772383,0,0,270.8699847993919,74.4990927747663
4800.19,288.1516249217556,0,0,270.8499839993599,74.66502191268354
5040.2,288.1516237701055,0,0,270.829983199328,74.83075412094176
5280.21,288.1516226220862,0,0,270.809982399296,74.99631569539345
5520.22,288.1516214777141,0,0,270.789981599264,75.16170160682579
5760.23,288.1516203371034,0,0,270.769980799232,75.32689264632964
6000.24,288.1516192001832,0,0,270.7499799991999,75.49189632110765
6240.25,288.1516180740304,0,0,270.7299791991679,75.65567963089215
6480.26,288.1516169563113,0,0,270.7099783991359,75.81857387149515
6720.27,288.1516158466726,0,0,270.6899775991039,75.98062372265291
6960.28,288.1516147451143,0,0,270.6699767990719,76.14182255576551
7200,288.1516136529437,0,0,270.65,76.3019718579705
7200,288.1516136529437,0,0,270.6499999999199,76.3019718579705
7200.29,288.1516135655174,0,0,270.6499679987199,76.31480549957881
7440.3,288.1516121803353,0,0,270.6233002653439,76.51841845079832
7680.31,288.1516107953283,0,0,270.5966325319679,76.72252717075989
7920.32,288.1516094143983,0,0,270.5699647985919,76.92655542461236
8160.33,288.1516080384423,0,0,270.5432970652159,77.13036677373042
8400.34,288.1516066706496,0,0,270.5166293318399,77.33348261217455
8640.35,288.151605302857,0,0,270.4899615984639,77.5371117691912
8880.36,288.1516039419161,0,0,270.4632938650879,77.74023151966448
9120.36,288.1516025849851,0,0,270.4366261317119,77.94326104982785
9360.37,288.151601231865,0,0,270.4099583983359,78.14622694568629
9600.38,288.1515998850109,0,0,270.3832906649599,78.34875640469762
9840.39,288.1515985394676,0,0,270.3566229315839,78.55159144705792
10080.4,288.1515972030567,0,0,270.3299551982079,78.75354830139824
10320.4,288.1515958666459,0,0,270.3032874648319,78.95600304374484
10560.4,288.1515945360829,0,0,270.2766197314559,79.15806762455269
10800,288.1515932333,0,0,270.25,79.35639375962144
10800,288.1515932333,0,0,270.2499999998499,79.35639375962144
10800.4,288.1515932091377,0,0,270.2499399975999,79.36007654109767
11040.4,288.1515916210486,0,0,270.2166053308799,79.60249069580961
11280.5,288.1515900391189,0,0,270.1832706641599,79.84467020450315
11520.5,288.1515884647285,0,0,270.1499359974399,80.08639654727368
11760.5,288.1515868927465,0,0,270.1166013307198,80.32845270492295
12000.5,288.1515853289688,0,0,270.0832666639999,80.56994095619442
12240.5,288.151583768751,0,0,270.0499319972799,80.81157251918935
12480.5,288.1515822154586,0,0,270.0165973305599,81.05282098405064
12720.5,288.1515806649158,0,0,269.9832626638399,81.29433026670586
12960.5,288.1515791214805,0,0,269.9499279971199,81.53541679950094
13200.5,288.1515775832448,0,0,269.9165933303998,81.77637218799883
13440.5,288.1515760502085,0,0,269.8832586636798,82.01719129143248
13680.5,288.1515745355809,0,0,269.8499239969598,82.25578523120858
13920.6,288.1515730397969,0,0,269.8165893302399,82.49206268861042
14160.6,288.1515715579747,0,0,269.7832546635199,82.72677504831893
14400,288.1515700936204,0,0,269.75,82.95934827168605
14400,288.1515700936204,0,0,269.7499999998799,82.95934827168605
14400.6,288.1515699710257,0,0,269.7499519980799,82.97884749087837
14640.6,288.1515689757033,0,0,269.7299511980479,83.13732020375875
14880.6,288.1515679828448,0,0,269.7099503980159,83.29568905902896
15120.6,288.151566992394,0,0,269.6899495979839,83.45396134985251
15360.6,288.151566004906,0,0,269.6699487979519,83.61204652917121
15600.6,288.1515650221801,0,0,269.6499479979199,83.76965364075339
15840.6,288.1515640394543,0,0,269.6299471978879,83.92754482793663
16080.6,288.1515630611603,0,0,269.6099463978559,84.0850065803036
16320.7,288.1515620852416,0,0,269.5899455978239,84.24236742881286
16560.7,288.1515611102268,0,0,269.5699447977919,84.39986364470498
16800.7,288.15156014103,0,0,269.5499439977599,84.5566990162544
17040.7,288.1515591718331,0,0,269.5299431977279,84.71381293757796
17280.7,288.1515582048159,0,0,269.5099423976959,84.87085158487528
17520.7,288.1515572409779,0,0,269.4899415976639,85.02765076367037
17760.7,288.1515562796718,0,0,269.4699407976319,85.18431375614244
18000,288.1515553919331,0,0,269.45,85.32923246218016
18000,288.1515553919331,0,0,269.44999999995,85.32923246218016
18000.7,288.1515553215616,0,0,269.4499799992,85.34073031848688
18240.7,288.1515548632566,0,0,269.4433130658559,85.41564803289691
18480.7,288.1515544060611,0,0,269.436646132512,85.49044698880471
18720.7,288.1515539499812,0,0,269.4299791991679,85.56512575376884
18960.8,288.151553495488,0,0,269.4233122658239,85.63960672654348
19200.8,288.1515530418322,0,0,269.41664533248,85.7140122061314
19440.8,288.1515525896748,0,0,269.4099783991359,85.7882333815122
19680.8,288.1515521382995,0,0,269.4033114657919,85.86238742067142
19920.8,288.151551688203,0,0,269.396644532448,85.93639231295657
20160.8,288.1515512391645,0,0,269.3899775991039,86.01028395791077
20400.8,288.1515507912688,0,0,269.38331066576,86.08404797980617
20640.8,288.1515503445792,0,0,269.3766437324159,86.15767355683923
20880.8,288.1515498990375,0,0,269.3699767990719,86.2311698334216
21120.8,288.1515494546668,0,0,269.363309865728,86.30453256987126
21360.9,288.1515490115074,0,0,269.3566429323839,86.3777546771003
21600,288.1515486172517,0,0,269.35,86.44294641593631
21600,288.1515486172517,0,0,269.34999999988,86.44294641593631
21600.9,288.1515485686254,0,0,269.3499519980799,86.45099022100044
21840.9,288.1515478822653,0,0,269.3366181313919,86.56460476669604
22080.9,288.1515471977861,0,0,269.3232842647039,86.67804991928108
22320.9,288.1515465156701,0,0,269.3099503980159,86.79124459941268
22560.9,288.1515458342582,0,0,269.2966165313279,86.90446331461021
22800.9,288.151545155227,0,0,269.2832826646399,87.01742672288803
23040.9,288.1515444772407,0,0,269.2699487979519,87.13035611855425
23280.9,288.1515438012754,0,0,269.2566149312639,87.24308814076586
23520.9,288.1515431260772,0,0,269.2432810645759,87.35583118090307
23761,288.1515424528545,0,0,269.2299471978879,87.46838278402669
24001,288.1515417810775,0,0,269.2166133311999,87.58083060963473
24241,288.1515411107462,0,0,269.2032794645119,87.69317393875298
24481,288.1515404479039,0,0,269.1899455978239,87.80439736141288
24721,288.1515397927266,0,0,269.1766117311359,87.91446685265147
24961,288.1515391429947,0,0,269.1632778644479,88.02375152524678
25200,288.1515385014027,0,0,269.15,88.13179422838901
25200,288.1515385014027,0,0,269.1499999999299,88.13179422838901
25201,288.1515384455505,0,0,269.1499719988799,88.14120559814131
25441,288.1515380254186,0,0,269.1433050655359,88.21203063520933
25681,288.1515376063338,0,0,269.1366381321919,88.28273325124947
25921,288.1515371888942,0,0,269.129971198848,88.35321202928736
26161,288.1515367719919,0,0,269.1233042655039,88.42365364419891
26401.1,288.1515363562598,0,0,269.1166373321599,88.4939508766851
26641.1,288.1515359415607,0,0,269.1099703988159,88.56412654235545
26881.1,288.1515355275809,0,0,269.1033034654719,88.63423341903032
27121.1,288.1515351150674,0,0,269.0966365321279,88.70414461429854
27361.1,288.1515347026788,0,0,269.0899695987839,88.77408721235791
27601.1,288.151534291623,0,0,269.0833026654399,88.84385607316581
27841.1,288.1515338814109,0,0,269.076635732096,88.91353386736067
28081.1,288.1515334720424,0,0,269.0699687987519,88.98312030855283
28321.1,288.1515330635174,0,0,269.0633018654079,89.05261512994689
28561.1,288.1515326691652,0,0,269.0566349320639,89.11974807151557
28800,288.1515322887713,0,0,269.05,89.18455053256369
28800,288.1515322887713,0,0,269.0499999998399,89.18455053256369
28801.2,288.1515322480851,0,0,269.0499359974399,89.19148433517654
29041.2,288.1515316049135,0,0,269.0366021307519,89.30116291767231
29281.2,288.1515309632956,0,0,269.0232682640639,89.41070464605983
29521.2,288.1515303234722,0,0,269.0099343973759,89.52006755311459
29761.2,288.1515296851396,0,0,268.9966005306879,89.62930267422186
30001.2,288.1515290468071,0,0,268.9832666639999,89.73866482639548
30241.2,288.151528411764,0,0,268.9699327973119,89.84758958295825
30481.2,288.151527776818,0,0,268.9565989306238,89.95662366395163
30721.2,288.1515271433974,0,0,268.9432650639359,90.06552141664793
30961.2,288.1515265118056,0,0,268.9299311972479,90.1742298176742
31201.2,288.1515258802139,0,0,268.9165973305599,90.28306322657743
31441.3,288.1515252544598,0,0,268.9032634638718,90.39101410191796
31681.3,288.1515246325813,0,0,268.8899295971839,90.49841822634808
31921.3,288.1515240143049,0,0,268.8765957304959,90.60532074303885
32161.3,288.1515233996307,0,0,268.8632618638078,90.71171964229463
32400,288.1515227918488,0,0,268.85,90.81704252191969
32400,288.1515227918488,1.364954127234592e-14,1.364954127234592e-14,268.8499999998199,90.81704252191969
32401.3,288.1515227440116,5.459406085613762e-09,5.459406085613762e-09,268.8499279971198,90.82533720093244
32641.3,288.1515221208518,1.016460533051493e-06,1.016460533051493e-06,268.8365941304319,90.93345524307472
32881.3,288.1515214991363,2.027461660017373e-06,2.027461660017373e-06,268.8232602637439,91.04144483353171
33121.3,288.1515208785648,3.038462786983251e-06,3.038462786983251e-06,268.8099263970558,91.14935751485275
33361.3,288.151520260468,4.04946391394913e-06,4.04946391394913e-06,268.7965925303678,91.25696092643854
33601.3,288.1515196423712,5.060465040915011e-06,5.060465040915011e-06,268.7832586636799,91.36468528571629
33841.4,288.151519025472,6.071466167880889e-06,6.071466167880889e-06,268.7699247969919,91.47232163414643
34081.4,288.1515184108691,7.082467294846768e-06,7.082467294846768e-06,268.7565909303038,91.57967737250783
34321.4,288.1515177962663,8.093468421812649e-06,8.093468421812649e-06,268.7432570636158,91.68715304510077
34561.4,288.1515171834312,9.104469548778526e-06,9.104469548778526e-06,268.7299231969279,91.79443914319873
34801.4,288.1515165722836,1.011547067574441e-05,1.011547067574441e-05,268.7165893302399,91.90154881684587
35041.4,288.151515961136,1.112647180271028e-05,1.112647180271028e-05,268.7032554635518,92.00877745439374
35281.4,288.1515153511896,1.213747292967617e-05,1.213747292967617e-05,268.6899215968638,92.11591404436537
35521.4,288.151514742652,1.314847405664204e-05,1.314847405664204e-05,268.6765877301759,92.22292149914691
35761.4,288.1515141352363,1.415947518360793e-05,1.415947518360793e-05,268.6632538634879,92.3298496354149
36000,288.1515135971105,1.516441030381201e-05,1.516441030381201e-05,268.65,92.42467868572434
36000,288.1515135971105,1.516441059197585e-05,1.516441059197585e-05,268.6500000008001,92.42467868572434
36001.4,288.1515135418316,1.527966443228608e-05,1.527966443228608e-05,268.6503200128005,92.43442522676936
36241.4,288.1515152449721,3.448868584463777e-05,3.448868584463777e-05,268.7036554795525,92.13458320682777
36481.5,288.1515169546729,5.36977072569895e-05,5.36977072569895e-05,268.7569909463045,91.83451738554072
36721.5,288.1515186688343,7.290672866934118e-05,7.290672866934118e-05,268.8103264130565,91.53460270685498
36961.5,288.1515203940386,9.211575008169292e-05,9.211575008169292e-05,268.8636618798085,91.23369759846834
37201.5,288.1515221222532,0.0001113247714940446,0.0001113247714940446,268.9169973465605,90.93321196005965
37441.5,288.1515238504678,0.0001305337929063963,0.0001305337929063963,268.9703328133125,90.63366900311098
37681.5,288.1515255904811,0.000149742814318748,0.000149742814318748,269.0236682800645,90.33303069061893
37921.5,288.1515273371293,0.0001689518357310997,0.0001689518357310997,269.0770037468165,90.03220167202963
38161.5,288.1515290837775,0.0001881608571434514,0.0001881608571434514,269.1303392135685,89.73232741617598
38401.5,288.1515308397352,0.0002073698785558031,0.0002073698785558031,269.1836746803205,89.43181448494542
38641.5,288.1515326052154,0.0002265788999681548,0.0002265788999681548,269.2370101470725,89.13063917780039
38881.6,288.1515343706955,0.0002457879213805065,0.0002457879213805065,269.2903456138245,88.8304309675726
39121.6,288.1515361399855,0.0002649969427928583,0.0002649969427928583,269.3436810805765,88.53054234398694
39361.6,288.1515379206115,0.0002842059687406671,0.0002842059687406671,269.3970165473285,88.22970727654833
39600,288.1515396626194,0.0003034477842317519,0.0003034477842317519,269.45,87.93634047489907
39600,288.1515396626194,0.0003034477848067782,0.0003034477848067782,269.4500000018701,87.93634047489907
39601.6,288.151539720385,0.0003036782150853829,0.0003036782150853829,269.4507480299212,87.92662827768116
39841.6,288.1515438833374,0.002416034668965333,0.002416034668965333,269.5640858967692,87.22939508470273
40081.6,288.1520329224397,5.724150986673777,5.724150986673777,269.6774237636172,33.71876344553804
40321.6,288.1524827257873,8.071331974863254,8.071331974863254,269.7907616304652,13.8529789485462
40561.6,288.1526339303537,8.738774036007873,8.738774036007873,269.9040994973132,10.25638425406827
40801.6,288.1528329081472,9.406001437832179,9.406001437832179,270.0174373641612,6.900748091240749
41041.6,288.1531406018915,10.0732288185946,10.0732288185946,270.1307752310092,3.735304263833727
41281.7,288.1536857758749,10.74045619935496,10.74045619935496,270.2441130978572,1.256992566350479
41521.7,288.1546348522588,11.40768358011532,11.40768358011532,270.3574509647052,0.1884549504965749
41761.7,288.1561181701247,12.07491096087569,12.07491096087569,270.4707888315533,0.009701811670481675
42001.7,288.2097168395155,12.74213834163605,12.74213834163605,270.5841266984012,0
