"time","air.T","air.RH","lightAbsorption.panels_NIR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[1]","soil.heatCapacitor1.T","soil.heatCapacitor2.T","soil.heatCapacitor3.T","soil.heatCapacitor4.T","soil.heatCapacitor5.T","climateController.heater_power","weatherFromFile.weather.air_temp"
0,293.15,0.2250882135652072,0,0,293.15,293.15,293.15,293.15,293.15,0,270.95
240.01,288.966876468607,0.2902303264487235,0,0,293.1426128419013,293.1499913638158,293.1499999248267,293.1499221691662,293.0906668242176,0,270.95
480.019,288.1512105592845,0.3052041504623208,0,0,293.1319242400092,293.1499557251119,293.1499992962161,293.1496765217888,293.0317754008876,81.57641113444714,270.95
720.029,288.1512102441071,0.3051154598193534,0,0,293.1211604014171,293.1498811529792,293.1499969812044,293.1492199315085,292.9734428419421,81.62365084210288,270.95
960.038,288.1512099314929,0.3050275581855061,0,0,293.1104725168544,293.1497616713136,293.149991025943,293.1485216764645,292.9157567458463,81.67053100081468,270.95
1200.05,288.151209619906,0.3049399733650699,0,0,293.099815080385,293.1496242127702,293.149983483653,293.1477267985535,292.8583295987326,81.7172815079969,270.95
1440.06,288.1512093105581,0.3048530571131549,0,0,293.0892214158831,293.1494493445365,293.149971415183,293.1467319464855,292.8014429271822,81.76372018265454,270.95
1680.07,288.1512090020827,0.3047664013531279,0,0,293.0786525988099,293.1492599003905,293.1499575831804,293.1456591786215,292.744766840761,81.81005182711121,270.95
1920.08,288.1512086960112,0.3046804662108809,0,0,293.0681520040984,293.1490306895463,293.1499376353405,293.1443750378899,292.6886669403386,81.85604604989749,270.95
2160.09,288.1512083906222,0.3045947356968861,0,0,293.0576707821826,293.1487901863327,293.1499159508137,293.1430308745606,292.6327306568489,81.90196117312837,270.95
2400.1,288.1512080867177,0.3045094371054581,0,0,293.0472300461571,293.1485262753201,293.1498896519209,293.1415632558256,292.5771347683161,81.94767640142686,270.95
2640.11,288.1512077842716,0.3044245628773108,0,0,293.0368290874598,293.1482393661793,293.1498588194202,293.1399743423349,292.5218733173306,81.99319531427341,270.95
2880.12,288.1512074831004,0.3043400595846045,0,0,293.0264628981117,293.1479323543822,293.1498240240945,293.1382794051384,292.4669041980945,82.038545233039,270.95
3120.12,288.1512071832039,0.3042559272273831,0,0,293.0161314781131,293.1476052399289,293.1497852659435,293.1364784442362,292.4122274106078,82.083725902449,270.95
3360.13,288.1512068845047,0.3041721194572598,0,0,293.0058478965266,293.1472507735911,293.1497394615989,293.1345348460119,292.3579503079093,82.12874870650944,270.95
3600,288.1512065872222,0.3040887108889969,0,0,292.9956113375973,293.1468730437585,293.1496882829001,293.1324693556813,292.3040480660298,82.17358030370758,270.95
3600,288.1512065872222,0.3040887108889969,0,0,292.9956113375973,293.1468730437585,293.1496882829001,293.1324693556813,292.3040480660298,82.17358030370758,270.94999999997
3600.14,288.1512065880506,0.3040886610909486,0,0,292.9956052039908,293.1468728099421,293.1496882513439,293.1324680779662,292.3040158070957,82.17345534928988,270.94998799952
3840.15,288.1512054138975,0.3040057060476953,0,0,292.9854132831081,293.146465001962,293.1496308455938,293.130244234106,292.2505156223584,82.35074077106796,270.929987199488
4080.16,288.1512042442153,0.3039227374371491,0,0,292.9752823963577,293.1460214184388,293.1495631197089,293.127834974793,292.197539338403,82.52769723743353,270.9099863994559
4320.17,288.1512030777089,0.3038397596688937,0,0,292.9651901823877,293.1455552527827,293.1494883610158,293.1253092378084,292.1448942461788,82.70451782009225,270.8899855994239
4560.18,288.151201914558,0.3037567724135553,0,0,292.9551364496089,293.1450666682438,293.1494063054603,293.1226682098228,292.0925782448003,82.88117290667618,270.8699847993919
4800.19,288.1512007548993,0.3036737748936604,0,0,292.9451226743595,293.1445548612899,293.1493163422531,293.1199081439727,292.0406034494122,83.05763922673914,270.8499839993599
5040.2,288.1511995987562,0.303590767735228,0,0,292.9351430958728,293.1440232681813,293.1492190792741,293.117047286816,291.9889198655403,83.23391065544999,270.829983199328
5280.21,288.1511984459436,0.3035077514452134,0,0,292.9251959134514,293.1434729307963,293.1491149009069,293.1140909457154,291.9375121588747,83.41001289575966,270.809982399296
5520.22,288.1511972964803,0.3034247248263943,0,0,292.9152840374915,293.1429022100729,293.1490029145731,293.1110311006533,291.8864046964085,83.58594063100323,270.789981599264
5760.23,288.151196150476,0.3033416860872713,0,0,292.9054120835187,293.1423084939356,293.1488817816847,293.1078548746439,291.8356362394692,83.7616746146772,270.769980799232
6000.24,288.1511950078626,0.3032586363387249,0,0,292.8955771897283,293.1416934019724,293.148752332218,293.1045702519172,291.7851827545321,83.93722274600535,270.7499799991999
6240.25,288.1511938759233,0.3031755763010127,0,0,292.8857833684526,293.1410550463258,293.1486111787119,293.1011708067393,291.7350741122356,84.11146041306716,270.7299791991679
6480.26,288.1511927522565,0.3030925057368106,0,0,292.8760292966923,293.1403940494851,293.148459438125,293.0976586578884,291.6853004632372,84.2847495148486,270.7099783991359
6720.27,288.1511916364986,0.3030094246102681,0,0,292.8663147740487,293.1397105057407,293.1482972796463,293.0940341263019,291.6358603156276,84.45713961195777,270.6899775991039
6960.28,288.1511905286496,0.3029263329215047,0,0,292.8566398005218,293.1390044150926,293.1481247032758,293.09029721198,291.586753669407,84.62862435610141,270.6699767990719
7200,288.1511894300245,0.3028433303994245,0,0,292.8470159148912,293.1382766654156,293.1479419348493,293.0864526014162,291.5380388523425,84.79899331580121,270.65
7200,288.1511894300245,0.3028433303994245,0,0,292.8470159148912,293.1382766654156,293.1479419348493,293.0864526014162,291.5380388523425,84.79899331580121,270.6499999999199
7200.29,288.1511893404075,0.3028432323120708,0,0,292.8470043742265,293.1382757783409,293.1479417106958,293.0864479173511,291.5379805117292,84.81290437488664,270.6499679987199
7440.3,288.1511879397038,0.3027600457325164,0,0,292.8374141390141,293.1375210903969,293.1477468187865,293.0824686220407,291.489592557546,85.03060177108939,270.6233002653439
7680.31,288.151186538858,0.3026767234186497,0,0,292.8278790194751,293.136734994325,293.1475347714425,293.0783360082053,291.441671037445,85.24882805655915,270.5966325319679
