"time","air.T","climateController.heater_power","lightAbsorption.panels_NIR_transmitted[1]","lightAbsorption.panels_NIR_transmitted[2]","lightAbsorption.panels_PAR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[2]","air.RH","soil.heatCapacitor1.T","soil.heatCapacitor2.T","soil.heatCapacitor5.T","soil.heatCapacitor3.T","soil.heatCapacitor4.T","weatherFromFile.weather.air_temp"
0,293.15,0,0,0,0,0,0.2250882135652072,293.15,293.15,293.15,293.15,293.15,270.95
240.01,292.7761402284287,0,0,0,0,0,0.2302117384750894,293.1465819310667,293.1499956669069,293.1485135946477,293.1499999945319,293.1499980515831,270.95
480.019,292.370010726756,0,0,0,0,0,0.235914261555326,293.142637125037,293.149981626393,293.1470312327592,293.1499999537412,293.1499922280345,270.95
720.029,292.020175954713,0,0,0,0,0,0.2409483965049051,293.1382595324915,293.149956760211,293.1455528940473,293.1499998421452,293.149982558812,270.95
960.038,291.7191149081696,0,0,0,0,0,0.2453719524806009,293.1335097742828,293.1499201069706,293.144078558241,293.1499996218624,293.1499690732483,270.95
1200.05,291.4597891030963,0,0,0,0,0,0.2492500654100277,293.1284444829951,293.1498707823369,293.1426082039148,293.1499992507859,293.149951802241,270.95
1440.06,291.2362578625659,0,0,0,0,0,0.2526427691138276,293.1231113509731,293.1498080649193,293.1411418097778,293.1499986846458,293.1499307763492,270.95
1680.07,291.0435895057371,0,0,0,0,0,0.2556032443879612,293.1175500222605,293.1497313884008,293.1396793552486,293.1499978787195,293.1499060249617,270.95
1920.08,290.8773844504021,0,0,0,0,0,0.2581829515670599,293.1117960871525,293.1496402851534,293.1382208200139,293.1499967876745,293.1498775769405,270.95
2160.09,290.7338691703297,0,0,0,0,0,0.2604285275472464,293.1058801948928,293.1495343867128,293.1367661839337,293.1499953652659,293.1498454607773,270.95
2400.1,290.6099376546423,0,0,0,0,0,0.2623798416522563,293.0998271188328,293.1494133752554,293.1353154268235,293.14999356459,293.1498097048924,270.95
2640.11,290.5030492669835,0,0,0,0,0,0.2640705022033499,293.0936567606056,293.1492769895065,293.1338685285202,293.149991338137,293.1497703375402,270.95
2880.12,290.41095989622,0,0,0,0,0,0.2655313805344957,293.0873866859691,293.1491250278519,293.1324254690552,293.1499886381585,293.1497273865507,270.95
3120.12,290.3316586946005,0,0,0,0,0,0.2667911599567343,293.0810326930936,293.1489573254885,293.1309862285563,293.1499854167521,293.1496808794748,270.95
3360.13,290.2633919093077,0,0,0,0,0,0.2678755300801584,293.0746086839154,293.1487737622336,293.129550787296,293.1499816259436,293.1496308435132,270.95
3600,290.2045995475271,0,0,0,0,0,0.2688079083263324,293.0681313879141,293.1485743779808,293.1281199835643,293.1499772206956,293.1495773386744,270.95
3600,290.2045995475271,0,0,0,0,0,0.2688079083263324,293.0681313879141,293.1485743779808,293.1281199835643,293.1499772206956,293.1495773386744,270.94999999997
3600.14,290.2045668262583,0,0,0,0,0,0.2688084265591317,293.0681274843097,293.1485742534842,293.128119125699,293.149977217856,293.1495773055067,270.94998799952
3840.15,290.1542215754294,0,0,0,0,0,0.2696037834225541,293.0615954507308,293.1483566375437,293.1266917165669,293.1499720495752,293.1495198383113,270.929987199488
4080.16,290.1094490380356,0,0,0,0,0,0.2703084943873539,293.0550301694389,293.1481239796212,293.1252678142743,293.149966201898,293.149459139443,270.9099863994559
4320.17,290.069488103767,0,0,0,0,0,0.2709344845298907,293.0484376315654,293.1478764633023,293.1238473607889,293.1499596460126,293.1493952687945,270.8899855994239
4560.18,290.0338416497751,0,0,0,0,0,0.2714894430581608,293.0418227423179,293.1476129419635,293.1224306048525,293.1499522711483,293.1493280069725,270.8699847993919
4800.19,290.0019772041773,0,0,0,0,0,0.2719818174377172,293.035189828607,293.1473333878743,293.1210175429472,293.1499440352198,293.1492573638262,270.8499839993599
5040.2,289.9734094345367,0,0,0,0,0,0.2724193897103829,293.0285427401482,293.1470379043738,293.1196081437816,293.1499349027105,293.1491833745035,270.829983199328
5280.21,289.9475849459641,0,0,0,0,0,0.2728111898576563,293.0218859293645,293.1467265346205,293.1182023892682,293.1499248228105,293.1491060638436,270.809982399296
5520.22,289.9241091138085,0,0,0,0,0,0.2731636562297514,293.0152225575981,293.146399333137,293.1168002622854,293.1499137530769,293.1490254543809,270.789981599264
5760.23,289.9026233085685,0,0,0,0,0,0.2734826789030919,293.008555488352,293.1460563656329,293.1154017445712,293.14990164946,293.1489415698684,270.769980799232
6000.24,289.8828692474324,0,0,0,0,0,0.2737724962749254,293.0018867694219,293.1456977031283,293.1140068191363,293.1498884711601,293.1488544322086,270.7499799991999
6240.25,289.8645973721857,0,0,0,0,0,0.2740372318194383,292.9952183822431,293.1453234096002,293.1126154703178,293.1498741805256,293.148764061624,270.7299791991679
6480.26,289.8475422431558,0,0,0,0,0,0.2742813059613244,292.9885524190603,293.144933577631,293.1112276774472,293.1498587283045,293.1486704845572,270.7099783991359
6720.27,289.8314400168279,0,0,0,0,0,0.2745091366691907,292.9818909641908,293.1445282917766,293.1098434212002,293.1498420683434,293.1485737257899,270.6899775991039
6960.28,289.8160729943824,0,0,0,0,0,0.2747243785574108,292.9752356976102,293.1441076812354,293.1084626758927,293.1498241401277,293.1484738177591,270.6699767990719
7200,289.8015060588891,0,0,0,0,0,0.2749259715539001,292.9685947059442,293.1436723121177,293.1070870863753,293.1498049542569,293.1483708930825,270.65
7200,289.8015060588891,0,0,0,0,0,0.2749259715539001,292.9685947059442,293.1436723121177,293.1070870863753,293.1498049542569,293.1483708930825,270.6499999999199
7200.29,289.8014889679013,0,0,0,0,0,0.274926206681337,292.9685867315502,293.1436717799064,293.1070854357853,293.1498049304196,293.1483707675481,270.6499679987199
7440.3,289.7873751107982,0,0,0,0,0,0.2751197241081815,292.96194673408,293.1432172621671,293.1057124698777,293.1497840737715,293.1482638968478,270.6233002653439
7680.31,289.7736249045614,0,0,0,0,0,0.2753066011796243,292.9553180265591,293.1427408599768,293.1043445408916,293.1497611501184,293.1481525397492,270.5966325319679
7920.32,289.7600673301359,0,0,0,0,0,0.2754899565805639,292.9486967880168,293.1422505971111,293.1029798077482,293.1497368570087,293.1480383432021,270.5699647985919
8160.33,289.7466811586152,0,0,0,0,0,0.2756701448896773,292.9420831412645,293.1417465462338,293.1016182572546,293.1497111647801,293.1479213231653,270.5432970652159
8400.34,289.7334542114675,0,0,0,0,0,0.2758473459315506,292.9354776342176,293.1412280138977,293.1002600536141,293.1496839608852,293.1478013387483,270.5166293318399
8640.35,289.7203348659568,0,0,0,0,0,0.2760224997486861,292.9288791124835,293.1406974083304,293.0989046468399,293.149655431154,293.1476788842875,270.4899615984639
8880.36,289.7073194201564,0,0,0,0,0,0.2761956764953146,292.9222873357394,293.1401551448993,293.0975519407087,293.1496256212006,293.1475540447624,270.4632938650879
9120.36,289.6944058249084,0,0,0,0,0,0.2763668789596384,292.915702933375,293.1396002780023,293.0962021576885,293.1495943937745,293.1474266272591,270.4366261317119
9360.37,289.6815947994692,0,0,0,0,0,0.276536041281094,292.9091269948677,293.1390311191324,293.0948556936017,293.1495615177568,293.1472962870745,270.4099583983359
